Rank,Name,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook
1,University of Oxford,United Kingdom,"20,835",10.7,42%,47:53:00,95.7,91,99.6,98,74.4,96.3
2,California Institute of Technology,United States,"2,233",6.3,34%,36 : 64,95,93.6,96.9,97.8,90.4,83.8
2,Harvard University,United States,"21,574",9.5,24%,50:50:00,95,94.5,98.9,99.2,48.9,79.8
4,Stanford University,United States,"16,319",7.3,23%,46:54:00,94.9,92.3,96.8,99.9,91,79.7
5,University of Cambridge,United Kingdom,"19,680",11.1,39%,47:53:00,94.6,90.9,99.5,96.2,56.7,95.8
5,Massachusetts Institute of Technology,United States,"11,459",8.4,33%,40 : 60,94.6,90.9,94.4,99.7,93.7,89.9
7,Princeton University,United States,"7,753",7.5,23%,47:53:00,93.6,89.5,96,99,88.8,80.7
8,"University of California, Berkeley",United States,"40,306",18.9,23%,51:49:00,92.2,85.7,96,99.1,84.7,77.6
9,Yale University,United States,"13,317",5.9,21%,51:49:00,90.8,90.7,93,97,56.2,69.9
10,The University of Chicago,United States,"14,895",6.1,33%,46:54:00,89.8,87.2,90.6,98.3,56.3,74.4
11,Columbia University,United States,"21,608",4.6,35%,n/a,89.6,87.8,89.6,97.3,48,79.8
12,Imperial College London,United Kingdom,"17,715",11.2,59%,40 : 60,89.3,81.4,88.3,97.6,70.8,97.5
13,Johns Hopkins University,United States,"16,552",4.3,28%,52:48:00,88.4,80,90.8,97.2,93.7,74.6
13,University of Pennsylvania,United States,"21,211",6.4,22%,53:47:00,88.4,84.5,89.2,97.1,77.6,69.7
15,ETH Zurich,Switzerland,"20,428",14.4,41%,32 : 68,88.2,81.3,92.4,90.7,62.5,97.9
16,Peking University,China,"31,606",10.2,19%,46:54:00,87.5,91.4,94.6,81.7,93.1,65.1
16,Tsinghua University,China,"38,221",11.5,13%,34 : 66,87.5,88.1,95.7,86.8,100,50.6
18,University of Toronto,Canada,"75,821",25.5,25%,57:43:00,87.2,77.6,93,92.6,61.2,89.1
18,UCL,United Kingdom,"35,760",10.6,57%,58:42:00,87.2,76.8,88.9,96.9,44.7,96.7
20,"University of California, Los Angeles",United States,"42,054",10,17%,55:45:00,86.7,82.1,89.8,96,56.5,65.1
21,National University of Singapore,Singapore,"31,819",18.8,25%,50:50:00,85.2,76.3,90.6,87.3,75.4,94.4
22,Cornell University,United States,"23,600",10.3,25%,50:50:00,85,78.6,85.4,97.2,38.3,75.4
23,Duke University,United States,"15,785",4.2,22%,52:48:00,83.5,79.2,78.6,95.6,99,66.6
24,University of Michigan-Ann Arbor,United States,"44,663",8.1,17%,50:50:00,83.1,78.6,85.4,94,48.9,59.5
24,Northwestern University,United States,"18,735",13,19%,50:50:00,83.1,74.3,82.1,97.6,81.6,65.3
26,New York University,United States,"45,424",11,35%,57:43:00,82.4,75.4,83.1,94.7,41.4,72.3
