Rank,Name,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook
1,University of Oxford,United Kingdom,"20,665",11.2,41%,46:54:00,95.4,90.5,99.6,98.4,65.5,96.4
2,California Institute of Technology,United States,"2,240",6.4,30%,34 : 66,94.5,92.1,97.2,97.9,88,82.5
3,University of Cambridge,United Kingdom,"18,980",10.9,37%,47:53:00,94.4,91.4,98.7,95.8,59.3,95
4,Stanford University,United States,"16,135",7.3,23%,43:57:00,94.3,92.8,96.4,99.9,66.2,79.5
5,Massachusetts Institute of Technology,United States,"11,247",8.6,34%,39 : 61,93.6,90.5,92.4,99.5,86.9,89
6,Princeton University,United States,"7,983",8.1,25%,45:55:00,93.2,90.3,96.3,98.8,58.6,81.1
7,Harvard University,United States,"20,823",9.2,24%,49:51:00,93,89.2,98.6,99.1,47.3,76.3
8,Yale University,United States,"12,402",5.4,20%,50:50:00,91.7,92,94.8,97.3,52.4,68.7
9,The University of Chicago,United States,"13,833",5.7,28%,46:54:00,90.2,89.1,91.4,96.7,52.7,76
10,Imperial College London,United Kingdom,"16,760",11.6,56%,38 : 62,89.8,84.5,87.6,97,69.9,97.1
11,University of Pennsylvania,United States,"20,578",6.5,21%,52:48:00,89.6,87.5,90.4,98.2,74,65
12,Johns Hopkins University,United States,"16,171",4.5,26%,52:48:00,89.2,81.7,91.4,98.3,91.3,73.2
13,"University of California, Berkeley",United States,"41,081",13.7,17%,50:50:00,88.3,83,90.6,99.2,46.1,70.4
13,ETH Zurich,Switzerland,"18,956",12.5,39%,32 : 68,88.3,81.8,92.8,90.3,56.8,98.2
15,UCL,United Kingdom,"32,665",10.6,52%,57:43:00,87.1,77.8,88.7,96.1,42.7,96.2
16,Columbia University,United States,"26,586",5.8,37%,n/a,87,85.6,82.6,98.2,44.8,79.3
17,"University of California, Los Angeles",United States,"41,066",9.4,17%,54:46:00,86.8,83.1,88.6,97.3,51.3,64.1
18,University of Toronto,Canada,"73,370",20.1,21%,59:41:00,85.5,76.6,89.5,93.6,50.5,84.7
19,Cornell University,United States,"22,319",9.8,25%,49:51:00,85.1,79.7,86,96.6,37.1,73.4
20,Duke University,United States,"15,309",4.3,19%,49:51:00,84,82.4,76.8,97,99.9,61.5
21,University of Michigan-Ann Arbor,United States,"42,982",8.3,17%,49:51:00,83.8,79.4,86.1,94.9,47.7,59.2
22,Northwestern University,United States,"17,951",12.8,20%,49:51:00,83.5,74.2,83.8,97.8,78.4,64.1
23,Tsinghua University,China,"38,783",12,11%,34 : 66,82.6,86.6,94,74.6,100,47.4
24,Peking University,China,"39,575",11.5,15%,46:54:00,82.3,89.1,90,73.2,86.6,59.6
25,National University of Singapore,Singapore,"30,869",17.9,28%,51:49:00,81.9,76.8,90.4,76.9,58.8,95.5
26,University of Washington,United States,"45,692",11.1,16%,53:47:00,81.6,72.2,82.2,98.6,47.5,60.4
27,Carnegie Mellon University,United States,"13,430",13.6,48%,41:59:00,81.3,65.9,82.7,98.2,50.5,80.6
27,London School of Economics and Political Science,United Kingdom,"10,570",12.1,71%,53:47:00,81.3,69,83,92.8,35.1,93.2
29,New York University,United States,"44,466",8.9,33%,57:43:00,81.1,76.8,77.5,96.5,38.7,65.4
30,University of Edinburgh,United Kingdom,"29,435",12.8,41%,60:40:00,79.4,67.3,74.1,96.4,38.9,93.8
31,"University of California, San Diego",United States,"33,579",13,23%,46:54:00,78.8,62.6,78.9,97.7,90.3,63.7
32,LMU Munich,Germany,"34,519",34.7,17%,61:39:00,77.8,68.4,77,88.8,100,67.2
32,University of Melbourne,Australia,"47,385",26.3,46%,56:44:00,77.8,65.9,74.1,89.8,76.3,93.1
34,University of British Columbia,Canada,"52,108",18.1,32%,55:45:00,76.3,61.5,73.2,92.5,43.8,94.4
35,University of Hong Kong,Hong Kong,"18,260",18.2,44%,54:46:00,75.9,69.5,77.2,76.6,59.7,98.6
36,King’s College London,United Kingdom,"26,055",12.5,44%,62:38:00,75.7,61.3,68.5,94.8,45.6,95.6
36,The University of Tokyo,Japan,"25,913",10.6,12%,n/a,75.7,85.9,89.6,60.7,77.4,38.2
38,École Polytechnique Fédérale de Lausanne,Switzerland,"10,492",11.4,59%,28 : 72,75.4,66.6,66.3,88.3,66.4,98.6
38,Georgia Institute of Technology,United States,"21,372",18.3,27%,33 : 67,75.4,60.2,76.4,90.4,61.6,77.1
38,University of Texas at Austin,United States,"49,165",17.2,10%,52:48:00,75.4,68.2,76.2,93.2,46.6,39.1
41,Karolinska Institute,Sweden,"7,777",9,20%,68:32:00,74.7,55.4,71.4,96.1,71.2,81.2
42,McGill University,Canada,"31,294",13,29%,58:42:00,74.3,65,71.9,84.7,42.8,90.4
43,Technical University of Munich,Germany,"40,472",47.8,27%,34 : 66,74.1,64.6,70.4,85.5,100,72.9
44,Universität Heidelberg,Germany,"20,800",16.1,18%,54:46:00,73.5,67.1,60.3,96.2,54.6,67.5
45,KU Leuven,Belgium,"45,049",36.3,15%,50:50:00,73.2,58.7,73.9,85.3,99.3,71.8
45,Paris Sciences et Lettres – PSL Research University Paris,France,"21,298",11.5,26%,46:54:00,73.2,71.6,71.4,77,52.2,78.7
47,The Hong Kong University of Science and Technology,Hong Kong,"10,125",22.3,31%,n/a,73.1,57.4,66.1,89.8,71.9,97.7
48,University of Illinois at Urbana-Champaign,United States,"44,916",17.9,24%,47:53:00,72.9,63.2,78,84.4,47.9,54.3
48,"Nanyang Technological University, Singapore",Singapore,"25,088",15.9,27%,48:52:00,72.9,57.6,70.4,84.9,76.5,95.1
50,Australian National University,Australia,"17,359",17.8,44%,52:48:00,72.1,54.4,69.7,88.4,46.4,95.5
51,University of Wisconsin-Madison,United States,"39,154",10,13%,n/a,72,68.8,70.3,85.3,46.3,47.4
52,Washington University in St Louis,United States,"13,401",7.5,20%,n/a,71.5,64.2,57.5,98.8,40.7,57.1
53,Brown University,United States,"9,391",10.8,20%,n/a,70,64,56.1,94.9,36.5,61.4
54,University of North Carolina at Chapel Hill,United States,"35,419",9.4,8%,57:43:00,69.9,59.7,63.2,96.9,43.9,38
55,"University of California, Davis",United States,"39,164",12,14%,58:42:00,69.7,62.4,66.9,83.2,51.4,62.4
55,University of Manchester,United Kingdom,"37,040",14.4,40%,53:47:00,69.7,56.9,63.8,85.2,44.7,91
57,"University of California, Santa Barbara",United States,"24,089",27.6,16%,52:48:00,69.6,47.9,63.6,96.4,84.5,68.1
57,Chinese University of Hong Kong,Hong Kong,"18,340",18.6,32%,n/a,69.6,55.8,62.8,84.5,55.2,97.8
59,Wageningen University & Research,Netherlands,"13,914",21.3,27%,53:47:00,69.4,49.3,57.1,96.1,100,81.9
60,The University of Sydney,Australia,"45,111",20.1,39%,58:42:00,69.3,51,61.5,90.7,67.7,89.2
61,Boston University,United States,"25,662",11.6,27%,60:40:00,68.5,57.3,55.6,95.7,41.4,64.4
62,University of Amsterdam,Netherlands,"26,723",13.5,18%,56:44:00,68.1,48,63.4,91.2,45.3,82
62,University of Southern California,United States,"36,929",11.7,25%,53:47:00,68.1,54.7,59.3,93.1,39.7,66.2
64,Seoul National University,South Korea,"26,182",12.4,12%,n/a,68,72.3,71.6,66.5,86.6,35.8
65,Kyoto University,Japan,"22,566",9,9%,24 : 76,67.7,73.7,78.1,59.9,66.2,33.7
66,The University of Queensland,Australia,"39,144",35.7,34%,55:45:00,67.4,49.3,58.7,86.8,80.9,92.5
67,Delft University of Technology,Netherlands,"18,743",20.2,30%,29 : 71,66.7,55.3,72.3,63.2,99.4,92.8
67,Leiden University,Netherlands,"28,741",18.7,16%,59:41:00,66.7,48.3,65,83.1,72.7,79.4
69,Erasmus University Rotterdam,Netherlands,"23,167",20.4,23%,51:49:00,66.3,39.4,57.3,97.1,63.6,87.3
70,Ohio State University (Main campus),United States,"54,372",12.5,13%,50:50:00,66.1,57.5,56.1,87.3,53.3,59.5
71,UNSW Sydney,Australia,"44,336",35.7,41%,47:53:00,65.9,50.2,58.2,82.9,57.9,93.7
72,McMaster University,Canada,"24,412",28.1,17%,55:45:00,65.4,44.5,50.1,94.8,94,82.7
73,University of Groningen,Netherlands,"27,228",23.8,21%,51:49:00,65.1,42.3,55.6,91.6,79.8,82.5
74,Humboldt University of Berlin,Germany,"33,463",56.1,17%,n/a,65,61.8,66.8,67.9,40.2,67.8
75,Monash University,Australia,"52,989",33.9,39%,57:43:00,64.7,47.3,56.6,83.8,67.2,89.9
75,Utrecht University,Netherlands,"31,833",14.2,9%,59:41:00,64.7,44.1,61.2,88.4,65.3,65.5
77,University of Warwick,United Kingdom,"20,600",13.2,41%,49:51:00,64.6,46.9,52.7,88.8,42.8,93.8
78,Penn State (Main campus),United States,"46,204",15.3,16%,46:54:00,64.2,55.2,67.1,75.7,52.1,47.4
79,University of Minnesota,United States,"61,120",12.4,11%,52:48:00,64.1,55.2,59.3,82.7,78.2,40.2
80,Charité - Universitätsmedizin Berlin,Germany,"7,076",17.6,19%,64:36:00,64,47.6,47.3,94.9,92.7,63.5
80,Emory University,United States,"12,735",4,20%,58:42:00,64,56,40.4,98.8,45.4,57.9
80,University of Science and Technology of China,China,"16,245",7.7,4%,n/a,64,64.6,59.5,74.7,79.6,31.3
80,Sorbonne University,France,"43,076",13.5,19%,58:42:00,64,62.3,50.6,79.9,38.4,69.2
84,Michigan State University,United States,"44,789",16.5,16%,51:49:00,63.9,56.6,57.4,80,37.8,63.3
85,Université de Montréal,Canada,"36,794",20.2,22%,n/a,63.4,48.2,49.7,86.4,70,84.1
86,University of Freiburg,Germany,"21,475",42.8,23%,54:46:00,63.3,49.1,51.6,83.1,100,75.7
87,University of Bristol,United Kingdom,"21,785",13.6,27%,54:46:00,63.2,41.8,48.4,95.5,40.9,86.6
88,Purdue University West Lafayette,United States,"40,451",15.7,23%,43:57:00,63.1,57.5,66.4,63,64.3,72
89,Sungkyunkwan University (SKKU),South Korea,"23,342",19.5,15%,43:57:00,63,57.6,61.2,70.3,97.3,51.1
90,University of Zurich,Switzerland,"22,609",12.3,21%,57:43:00,62.8,47,46.7,88.2,53,92.2
91,"University of Maryland, College Park",United States,"33,108",16.6,11%,48:52:00,62.7,46.9,59.1,89.6,39.2,41.2
91,University of Tübingen,Germany,"27,901",37.5,14%,58:42:00,62.7,51.2,56.2,80.1,67,64
93,École Polytechnique,France,"3,030",5.7,40%,0.970833333,62.5,59.6,49.1,70.2,69.6,95.2
94,University of Basel,Switzerland,"11,518",15.8,27%,56:44:00,62.4,43,41.2,91.4,99.4,96.1
94,Dartmouth College,United States,"6,247",7.7,15%,49:51:00,62.4,58.4,39.9,96.4,41,39.6
96,"University of California, Irvine",United States,"32,706",16.5,26%,52:48:00,62.3,43.3,46.5,94.9,58.9,71.9
96,University of Helsinki,Finland,"22,072",16.6,5%,66:34:00,62.3,43.4,59.3,88.1,38.1,55.1
96,Lund University,Sweden,"27,266",12.1,19%,54:46:00,62.3,40.7,54.3,86.3,81,77.7
99,University of Glasgow,United Kingdom,"25,355",15.4,37%,59:41:00,62.2,41.1,47.9,91.8,40,92.3
99,RWTH Aachen University,Germany,"45,377",61.1,21%,32 : 68,62.2,55.6,61.5,67.3,98.1,59
101,University of Copenhagen,Denmark,"31,219",4.3,17%,57:43:00,62.1,48.1,44.1,89.6,48.1,85.4
102,Georgetown University,United States,"16,279",8.5,18%,54:46:00,61.9,57.3,37.9,93.9,62.5,47.2
102,Uppsala University,Sweden,"25,438",16.7,15%,57:43:00,61.9,41.6,56.4,85,74.6,68.1
104,University of Arizona,United States,"39,124",18.4,10%,52:48:00,61.8,52.6,53.7,85.3,52.7,40.2
105,University of Bonn,Germany,"36,352",67.7,13%,55:45:00,61.6,47.6,47,88,93.3,60.3
105,Rice University,United States,"6,667",8.9,28%,42:58:00,61.6,49.1,39.7,93.7,45.4,77
107,University of Virginia (Main campus),United States,"23,116",8.6,12%,52:48:00,61.5,54.4,43.5,91.3,41.6,48.9
107,Zhejiang University,China,"33,427",10.7,22%,1.011805556,61.5,66,64.7,50.6,100,61.8
109,Fudan University,China,"32,537",11.2,12%,53:47:00,61.4,61.9,58.6,68.1,58.6,44.8
110,Korea Advanced Institute of Science and Technology (KAIST),South Korea,"9,481",10.2,8%,0.888888889,61.3,62.6,66.4,58.1,99.9,35.5
110,Queen Mary University of London,United Kingdom,"17,800",14.1,43%,54:46:00,61.3,35.3,43.1,98,44.1,96.7
112,University of Birmingham,United Kingdom,"29,540",15.5,29%,57:43:00,60.9,39.6,45.6,92.1,39.3,89.2
113,University of Bern,Switzerland,"11,090",16.5,16%,56:44:00,60.4,44.5,41.2,86.6,85,87.3
113,University of Pittsburgh-Pittsburgh campus,United States,"26,652",5.8,11%,51:49:00,60.4,47.4,45.5,95.1,40.7,39.3
115,Aarhus University,Denmark,"26,842",14.4,9%,55:45:00,60.3,37.2,54,85.4,66.7,74.8
116,Vanderbilt University,United States,"12,006",3,14%,54:46:00,60.2,48.7,42.1,95.4,47.5,43
117,Free University of Berlin,Germany,"35,894",58.2,21%,59:41:00,60.1,57.2,63.3,58.4,42.4,71.6
117,University of Sheffield,United Kingdom,"26,220",15,34%,50:50:00,60.1,45.2,46.4,83,45.8,87.3
119,Case Western Reserve University,United States,"10,654",8.8,23%,50:50:00,60,48.4,39.9,95.3,42.1,52.2
120,University of Adelaide,Australia,"21,093",29.9,29%,49:51:00,59.9,34.3,41.6,95.3,64.8,91.7
120,National Taiwan University (NTU),Taiwan,"27,254",11.1,11%,40 : 60,59.9,57,62.7,64,65.4,41.9
122,University of Southampton,United Kingdom,"23,865",13.7,34%,53:47:00,59.8,40.2,44.3,88,40.1,94.2
123,Ghent University,Belgium,"38,080",37,10%,54:46:00,59.7,43.3,55.5,78.4,80.9,59.5
124,University of Colorado Boulder,United States,"33,186",16.3,11%,44:56:00,59.6,44.8,45.6,93.1,41.7,47.3
125,University of Göttingen,Germany,"30,773",29.1,13%,51:49:00,59.5,49.6,48.6,82,37,60.9
126,City University of Hong Kong,Hong Kong,"9,587",11,45%,59:41:00,59.3,41,48.9,77.6,62.4,99.6
